order_id,customer_id,item_code,quantity,unit_price,weight_per_item,order_date,status,discount_code
ORD57,CUST00017,ITEM-BBB053,10,150.00,1.7,2024-01-15,CONFIRMED,DISC10
ORD58,CUST00018,ITEM-CCC054,3,490.00,4.3,2024-01-27,CONFIRMED,DISC15
ORD59,CUST00019,ITEM-DDD055,9,180.00,2.0,2024-01-09,PENDING,
ORD60,CUST00020,ITEM-EEE056,7,220.00,2.3,2024-01-03,CONFIRMED,DISC20
ORD61,CUST00021,ITEM-FFF057,4,350.00,3.0,2023-12-31,CONFIRMED,DISC10
ORD62,CUST00022,ITEM-GGG058,12,110.00,1.2,2024-01-30,CONFIRMED,
ORD63,CUST00023,ITEM-HHH059,5,310.00,2.8,2024-01-09,PENDING,DISC10
ORD64,CUST00024,ITEM-III060,8,195.00,2.1,2024-01-12,CONFIRMED,DISC15
ORD65,CUST00025,ITEM-JJJ061,6,265.00,2.4,2024-01-03,CONFIRMED,
ORD66,CUST00026,ITEM-KKK062,11,140.00,1.6,2024-01-09,CONFIRMED,DISC20
ORD67,CUST00027,ITEM-LLL063,3,480.00,4.2,2024-01-03,PENDING,DISC10
ORD68,CUST00028,ITEM-MMM064,9,165.00,1.8,2024-01-18,CONFIRMED,
ORD69,CUST00029,ITEM-NNN065,7,240.00,2.5,2024-01-12,CONFIRMED,DISC15
ORD70,CUST00030,ITEM-OOO066,4,370.00,3.3,2024-01-21,PENDING,DISC10
ORD71,CUST00031,ITEM-PPP067,10,125.00,1.4,2024-01-30,CONFIRMED,DISC20
ORD72,CUST00032,ITEM-QQQ068,5,350.00,3.1,2024-01-15,CONFIRMED,
ORD73,CUST00033,ITEM-RRR069,8,190.00,2.1,2024-01-06,CONFIRMED,DISC10
ORD74,CUST00034,ITEM-SSS070,6,280.00,2.6,2024-01-15,PENDING,DISC15
ORD75,CUST00035,ITEM-TTT071,12,105.00,1.2,2024-01-15,CONFIRMED,
ORD76,CUST00036,ITEM-UUU072,3,510.00,4.5,2024-01-09,CONFIRMED,DISC20
ORD77,CUST00037,ITEM-VVV073,9,155.00,1.7,2024-01-30,PENDING,DISC10
ORD78,CUST00038,ITEM-WWW074,7,230.00,2.4,2024-01-12,CONFIRMED,
ORD79,CUST00039,ITEM-XXX075,4,400.00,3.4,2024-01-30,CONFIRMED,DISC15
ORD80,CUST00040,ITEM-YYY076,11,130.00,1.5,2024-01-30,CONFIRMED,DISC10
ORD81,CUST00041,ITEM-ZZZ077,5,320.00,2.9,2024-01-03,PENDING,DISC20
ORD82,CUST00042,ITEM-AAAA078,8,175.00,1.9,2024-01-27,CONFIRMED,
ORD83,CUST00043,ITEM-BBBB079,6,260.00,2.3,2024-01-30,CONFIRMED,DISC10
ORD84,CUST00044,ITEM-CCCC080,10,140.00,1.6,2024-01-06,PENDING,DISC15
ORD85,CUST00045,ITEM-DDDD081,3,470.00,4.1,2024-01-24,CONFIRMED,
ORD86,CUST00046,ITEM-EEEE082,9,170.00,1.8,2024-01-09,CONFIRMED,DISC20
ORD87,CUST00047,ITEM-FFFF083,7,250.00,2.2,2024-01-06,CONFIRMED,DISC10
ORD88,CUST00048,ITEM-GGGG084,4,380.00,3.2,2024-01-21,PENDING,
ORD89,CUST00049,ITEM-HHHH085,12,120.00,1.3,2024-01-18,CONFIRMED,DISC15
ORD90,CUST00050,ITEM-IIII086,5,300.00,2.7,2024-01-12,CONFIRMED,DISC10
ORD91,CUST00001,ITEM-JJJJ087,8,185.00,2.0,2024-01-29,CONFIRMED,DISC20
ORD92,CUST00002,ITEM-KKKK088,6,270.00,2.5,2024-01-23,PENDING,
ORD93,CUST00003,ITEM-LLLL089,11,145.00,1.6,2024-01-08,CONFIRMED,DISC10
ORD94,CUST00004,ITEM-MMMM090,3,460.00,4.0,2024-01-29,CONFIRMED,DISC15
ORD95,CUST00005,ITEM-NNNN091,9,160.00,1.7,2024-01-14,PENDING,DISC10
ORD1,CUST00006,ITEM-A001,2,150.00,2.5,2023-12-31,PENDING,DISC05
ORD96,CUST00007,ITEM-OOOO092,7,240.00,2.3,2024-01-08,CONFIRMED,
ORD97,CUST00008,ITEM-PPPP093,4,360.00,3.1,2023-12-30,CONFIRMED,DISC20
ORD98,CUST00009,ITEM-QQQQ094,10,130.00,1.4,2024-01-14,PENDING,DISC10
ORD99,CUST00010,ITEM-RRRR095,5,310.00,2.8,2024-01-17,CONFIRMED,DISC15
ORD100,CUST00011,ITEM-SSSS096,8,200.00,2.1,2024-01-11,CONFIRMED,
ORD101,CUST00012,ITEM-TTTT097,6,280.00,2.6,2024-01-03,INVALID,DISC10
ORD102,CUST00013,ITEM-UUUU098,12,115.00,1.3,2024-01-09,CONFIRMED,DISC20
ORD103,CUST00014,ITEM-VVVV099,3,430.00,3.8,2024-01-27,PENDING,
ORD104,CUST00015,ITEM-WWWW100,9,150.00,1.7,2024-01-16,CONFIRMED,DISC10
ORD105,CUST00016,ITEM-XXXX101,7,220.00,2.3,2024-01-09,CONFIRMED,DISC15
ORD106,CUST00017,ITEM-YYYY102,4,350.00,3.0,2024-01-30,PENDING,DISC10
ORD107,CUST00018,ITEM-ZZZZ103,11,125.00,1.4,2024-01-21,CONFIRMED,DISC20
ORD108,CUST00019,ITEM-AAAAA104,5,300.00,2.7,2024-01-18,CONFIRMED,
ORD109,CUST00020,ITEM-BBBBB105,8,190.00,2.0,2024-01-30,PENDING,DISC10
ORD110,CUST00021,ITEM-CCCCC106,6,265.00,2.4,2024-01-21,CONFIRMED,DISC15
ORD111,CUST00999,ITEM-DDDDD107,10,140.00,1.6,2024-01-06,CONFIRMED,DISC20
ORD112,CUST00022,ITEM-EEEEE108,3,470.00,4.1,2024-01-12,PENDING,
ORD113,CUST00023,ITEM-FFFFF109,9,170.00,1.8,2024-01-06,CONFIRMED,DISC10
ORD114,CUST00024,ITEM-GGGGG110,7,250.00,2.2,2024-01-09,CONFIRMED,DISC15
ORD115,CUST00025,ITEM-HHHHH111,4,380.00,3.2,2024-01-24,PENDING,DISC10
ORD116,CUST00026,ITEM-IIIII112,12,120.00,1.3,2024-01-24,CONFIRMED,DISC20
ORD117,CUST00027,ITEM-JJJJJ113,5,300.00,2.7,2024-01-12,CONFIRMED,
ORD118,CUST00028,ITEM-KKKKK114,8,185.00,2.0,2024-01-27,PENDING,DISC10
ORD119,CUST00029,ITEM-LLLLL115,6,270.00,2.5,2024-01-18,CONFIRMED,DISC15
ORD120,CUST00030,ITEM-MMMMM116,11,145.00,1.6,2024-01-27,CONFIRMED,DISC10
ORD121,CUST00031,ITEM-NNNNN117,9,165.00,1.8,2024-01-18,CONFIRMED,DISC15
ORD122,CUST00032,ITEM-OOOOO118,7,240.00,2.5,2024-01-14,PENDING,DISC10
ORD123,CUST00033,ITEM-PPPPP119,4,370.00,3.3,2024-01-09,CONFIRMED,DISC20
ORD124,CUST00034,ITEM-QQQQQ120,10,125.00,1.4,2024-01-06,CONFIRMED,
ORD125,CUST00035,ITEM-RRRRR121,5,350.00,3.1,2024-01-24,PENDING,DISC15
ORD126,CUST00036,ITEM-SSSSS122,8,190.00,2.1,2024-01-20,CONFIRMED,DISC10
ORD127,CUST00037,ITEM-TTTTT123,6,280.00,2.6,2024-01-03,CONFIRMED,DISC20
ORD128,CUST00038,ITEM-UUUUU124,12,105.00,1.2,2023-12-31,PENDING,
ORD129,CUST00039,ITEM-VVVVV125,3,510.00,4.5,2024-01-03,CONFIRMED,DISC15
ORD130,CUST00040,ITEM-WWWWW126,9,155.00,1.7,2024-01-05,CONFIRMED,DISC10
ORD131,CUST00041,ITEM-XXXXX127,7,230.00,2.4,2024-01-30,PENDING,DISC20
ORD132,CUST00042,ITEM-YYYYY128,4,400.00,3.4,2024-01-06,CONFIRMED,
ORD133,CUST00043,ITEM-ZZZZZ129,11,130.00,1.5,2024-01-30,CONFIRMED,DISC15
ORD134,CUST00044,ITEM-AAAAAA130,5,320.00,2.9,2024-01-17,PENDING,DISC10
ORD135,CUST00045,ITEM-BBBBBB131,8,175.00,1.9,2024-01-27,CONFIRMED,DISC20
ORD136,CUST00046,ITEM-CCCCCC132,6,260.00,2.3,2024-01-03,CONFIRMED,
ORD137,CUST00047,ITEM-DDDDDD133,10,140.00,1.6,2024-01-18,PENDING,DISC15
ORD138,CUST00048,ITEM-EEEEEE134,3,470.00,4.1,2024-01-17,CONFIRMED,DISC10
ORD139,CUST00049,ITEM-FFFFFF135,9,170.00,1.8,2024-01-27,CONFIRMED,DISC20
ORD140,CUST00050,ITEM-GGGGGG136,7,250.00,2.2,2024-01-21,PENDING,
ORD141,CUST00051,ITEM-HHHHHH137,4,380.00,3.2,2024-01-24,CONFIRMED,DISC15
ORD142,CUST00052,ITEM-IIIIII138,12,120.00,1.3,2024-01-11,CONFIRMED,DISC10
ORD143,CUST00053,ITEM-JJJJJJ139,5,300.00,2.7,2024-01-24,PENDING,DISC20
ORD144,CUST00054,ITEM-KKKKKK140,8,185.00,2.0,2023-12-31,CONFIRMED,
ORD145,CUST00055,ITEM-LLLLLL141,6,270.00,2.5,2024-01-30,CONFIRMED,DISC15
ORD146,CUST00056,ITEM-MMMMMM142,11,145.00,1.6,2024-01-02,PENDING,DISC10
ORD147,CUST00057,ITEM-NNNNNN143,3,460.00,4.0,2024-01-30,CONFIRMED,DISC20
ORD148,CUST00058,ITEM-OOOOOO144,9,160.00,1.7,2024-01-24,CONFIRMED,
ORD149,CUST00059,ITEM-PPPPPP145,7,240.00,2.3,2024-01-12,PENDING,DISC15
ORD150,CUST00060,ITEM-QQQQQQ146,4,360.00,3.1,2024-01-29,CONFIRMED,DISC10
ORD151,CUST00061,ITEM-RRRRRR147,10,130.00,1.4,2024-01-15,CONFIRMED,DISC20
ORD152,CUST00062,ITEM-SSSSSS148,5,310.00,2.8,2024-01-03,PENDING,
ORD153,CUST00063,ITEM-TTTTTT149,8,200.00,2.1,2024-01-11,CONFIRMED,DISC15
ORD154,CUST00064,ITEM-UUUUUU150,6,280.00,2.6,2024-01-18,CONFIRMED,DISC10
ORD155,CUST00065,ITEM-VVVVVV151,12,115.00,1.3,2024-01-06,PENDING,DISC20
ORD156,CUST00066,ITEM-WWWWWW152,3,430.00,3.8,2024-01-21,CONFIRMED,
ORD157,CUST00067,ITEM-XXXXXX153,9,150.00,1.7,2023-12-30,CONFIRMED,DISC15
ORD158,CUST00068,ITEM-YYYYYY154,7,220.00,2.3,2024-01-12,PENDING,DISC10
ORD159,CUST00069,ITEM-ZZZZZZ155,4,350.00,3.0,2024-01-24,CONFIRMED,DISC20
ORD160,CUST00070,ITEM-AAAAAAA156,11,125.00,1.4,2024-01-05,CONFIRMED,
ORD161,CUST00071,ITEM-BBBBBBB157,5,310.00,2.8,2024-01-24,CONFIRMED,DISC15
ORD162,CUST00072,ITEM-CCCCCCC158,8,200.00,2.1,2024-01-02,PENDING,DISC10
ORD163,CUST00073,ITEM-DDDDDDD159,6,280.00,2.6,2024-01-30,CONFIRMED,DISC20
ORD164,CUST00074,ITEM-EEEEEEE160,12,115.00,1.3,2024-01-12,CONFIRMED,
ORD165,CUST00075,ITEM-FFFFFFF161,3,430.00,3.8,2024-01-29,PENDING,DISC15
ORD166,CUST00076,ITEM-GGGGGGG162,9,150.00,1.7,2024-01-24,CONFIRMED,DISC10
ORD167,CUST00077,ITEM-HHHHHHH163,7,220.00,2.3,2024-01-27,CONFIRMED,DISC20
ORD168,CUST00078,ITEM-IIIIIII164,4,350.00,3.0,2024-01-08,PENDING,
ORD169,CUST00079,ITEM-JJJJJJJ165,11,125.00,1.4,2024-01-06,CONFIRMED,DISC15
ORD170,CUST00080,ITEM-KKKKKKK166,5,320.00,2.9,2024-01-15,CONFIRMED,DISC10
ORD171,CUST00081,ITEM-LLLLLLL167,8,175.00,1.9,2024-01-05,PENDING,DISC20
ORD172,CUST00082,ITEM-MMMMMMM168,6,260.00,2.3,2024-01-24,CONFIRMED,
ORD173,CUST00083,ITEM-NNNNNNN169,10,140.00,1.6,2024-01-24,CONFIRMED,DISC15
ORD174,CUST00084,ITEM-OOOOOOO170,3,470.00,4.1,2023-12-30,PENDING,DISC10
ORD175,CUST00085,ITEM-PPPPPPP171,9,170.00,1.8,2024-01-27,CONFIRMED,DISC20
ORD176,CUST00086,ITEM-QQQQQQQ172,7,250.00,2.2,2024-01-15,CONFIRMED,
ORD177,CUST00087,ITEM-RRRRRRR173,4,380.00,3.2,2024-01-20,PENDING,DISC15
ORD178,CUST00088,ITEM-SSSSSSS174,12,120.00,1.3,2023-12-31,CONFIRMED,DISC10
ORD179,CUST00089,ITEM-TTTTTTT175,5,300.00,2.7,2024-01-03,CONFIRMED,DISC20
ORD180,CUST00090,ITEM-UUUUUUU176,8,185.00,2.0,2024-01-14,PENDING,
ORD181,CUST00091,ITEM-VVVVVVV177,6,270.00,2.5,2024-01-12,CONFIRMED,DISC15
ORD182,CUST00092,ITEM-WWWWWWW178,11,145.00,1.6,2024-01-09,CONFIRMED,DISC10
ORD183,CUST00093,ITEM-XXXXXXX179,3,460.00,4.0,2023-12-30,PENDING,DISC20
ORD184,CUST00094,ITEM-YYYYYYY180,9,160.00,1.7,2024-01-09,CONFIRMED,
ORD185,CUST00095,ITEM-ZZZZZZZ181,7,240.00,2.3,2024-01-27,CONFIRMED,DISC15
ORD186,CUST00096,ITEM-AAAAAAAA182,4,360.00,3.1,2024-01-02,PENDING,DISC10
ORD187,CUST00097,ITEM-BBBBBBBB183,10,130.00,1.4,2024-01-03,CONFIRMED,DISC20
ORD188,CUST00098,ITEM-CCCCCCCC184,5,310.00,2.8,2024-01-21,CONFIRMED,
ORD189,CUST00099,ITEM-DDDDDDDD185,8,200.00,2.1,2024-01-02,PENDING,DISC15
ORD190,CUST00100,ITEM-EEEEEEEE186,6,280.00,2.6,2024-01-24,CONFIRMED,DISC10
ORD191,CUST00101,ITEM-FFFFFFFF187,12,115.00,1.3,2024-01-06,CONFIRMED,DISC20
ORD192,CUST00102,ITEM-GGGGGGGG188,3,430.00,3.8,2024-01-05,PENDING,
ORD193,CUST00103,ITEM-HHHHHHHH189,9,150.00,1.7,2024-01-30,CONFIRMED,DISC15
ORD194,CUST00104,ITEM-IIIIIIII190,7,220.00,2.3,2024-01-21,CONFIRMED,DISC10
ORD195,CUST00105,ITEM-JJJJJJJJ191,4,350.00,3.0,2024-01-23,PENDING,DISC20
ORD196,CUST00106,ITEM-KKKKKKKK192,11,125.00,1.4,2024-01-06,CONFIRMED,
ORD197,CUST00107,ITEM-LLLLLLLL193,5,320.00,2.9,2024-01-12,CONFIRMED,DISC15
ORD198,CUST00108,ITEM-MMMMMMMM194,8,175.00,1.9,2024-01-23,PENDING,DISC10
ORD199,CUST00109,ITEM-NNNNNNNN195,6,260.00,2.3,2024-01-27,CONFIRMED,DISC20
ORD200,CUST00110,ITEM-OOOOOOOO196,10,140.00,1.6,2024-01-18,CONFIRMED,DISC10
ORD201,CUST00111,ITEM-PPPPPPPP197,3,470.00,4.1,2024-01-08,PENDING,DISC15
ORD202,CUST00112,ITEM-QQQQQQQQ198,9,170.00,1.8,2024-01-24,CONFIRMED,DISC20
ORD203,CUST00113,ITEM-RRRRRRRR199,7,250.00,2.2,2024-01-09,CONFIRMED,
ORD204,CUST00114,ITEM-SSSSSSSS200,4,380.00,3.2,2024-01-11,PENDING,DISC10
ORD205,CUST00115,ITEM-TTTTTTTT201,12,120.00,1.3,2024-01-18,CONFIRMED,DISC15
ORD206,CUST00116,ITEM-UUUUUUUU202,5,300.00,2.7,2024-01-30,CONFIRMED,DISC20
ORD207,CUST00117,ITEM-VVVVVVVV203,8,185.00,2.0,2024-01-29,PENDING,
ORD208,CUST00118,ITEM-WWWWWWWW204,6,270.00,2.5,2024-01-15,CONFIRMED,DISC10
ORD209,CUST00119,ITEM-XXXXXXXX205,11,145.00,1.6,2024-01-21,CONFIRMED,DISC15
ORD210,CUST00120,ITEM-YYYYYYYY206,3,460.00,4.0,2024-01-23,PENDING,DISC20
ORD211,CUST00121,ITEM-ZZZZZZZZ207,9,160.00,1.7,2024-01-21,CONFIRMED,DISC10
ORD212,CUST00122,ITEM-AAAAAAAAA208,7,240.00,2.3,2024-01-03,CONFIRMED,DISC15
ORD213,CUST00123,ITEM-BBBBBBBBB209,4,360.00,3.1,2024-01-08,PENDING,DISC20
ORD214,CUST00124,ITEM-CCCCCCCCC210,10,130.00,1.4,2024-01-09,CONFIRMED,
ORD215,CUST00125,ITEM-DDDDDDDDD211,5,310.00,2.8,2024-01-03,CONFIRMED,DISC10
ORD216,CUST00126,ITEM-EEEEEEEEE212,8,200.00,2.1,2024-01-14,PENDING,DISC15
ORD217,CUST00127,ITEM-FFFFFFFFF213,6,280.00,2.6,2023-12-31,CONFIRMED,DISC20
ORD218,CUST00128,ITEM-GGGGGGGGG214,12,115.00,1.3,2024-01-27,CONFIRMED,DISC10
ORD219,CUST00129,ITEM-HHHHHHHHH215,3,430.00,3.8,2024-01-23,PENDING,DISC15
ORD220,CUST00130,ITEM-IIIIIIIII216,9,150.00,1.7,2024-01-09,CONFIRMED,DISC20
ORD221,CUST00131,ITEM-JJJJJJJJJ217,7,220.00,2.3,2024-01-27,CONFIRMED,
ORD222,CUST00132,ITEM-KKKKKKKKK218,4,350.00,3.0,2024-01-08,PENDING,DISC10
ORD223,CUST00133,ITEM-LLLLLLLLL219,11,125.00,1.4,2023-12-31,CONFIRMED,DISC15
ORD224,CUST00134,ITEM-MMMMMMMMM220,5,320.00,2.9,2024-01-03,CONFIRMED,DISC20
ORD225,CUST00135,ITEM-NNNNNNNNN221,8,175.00,1.9,2024-01-29,PENDING,DISC10
ORD226,CUST00136,ITEM-OOOOOOOOO222,6,260.00,2.3,2023-12-31,CONFIRMED,DISC15
ORD227,CUST00137,ITEM-PPPPPPPPP223,10,140.00,1.6,2024-01-09,CONFIRMED,DISC20
ORD228,CUST00138,ITEM-QQQQQQQQQ224,3,470.00,4.1,2024-01-02,PENDING,
ORD229,CUST00139,ITEM-RRRRRRRRR225,9,170.00,1.8,2023-12-31,CONFIRMED,DISC10
ORD230,CUST00140,ITEM-SSSSSSSSS226,7,250.00,2.2,2024-01-15,CONFIRMED,DISC15
ORD231,CUST00141,ITEM-TTTTTTTTT227,4,380.00,3.2,2024-01-02,PENDING,DISC20
ORD232,CUST00142,ITEM-UUUUUUUUU228,12,120.00,1.3,2024-01-24,CONFIRMED,DISC10
ORD233,CUST00143,ITEM-VVVVVVVVV229,5,300.00,2.7,2024-01-09,CONFIRMED,DISC15
ORD234,CUST00144,ITEM-WWWWWWWWW230,8,185.00,2.0,2024-01-11,PENDING,DISC20
ORD235,CUST00145,ITEM-XXXXXXXXX231,6,270.00,2.5,2024-01-30,CONFIRMED,
ORD236,CUST00146,ITEM-YYYYYYYYY232,11,145.00,1.6,2024-01-21,CONFIRMED,DISC10
ORD237,CUST00147,ITEM-ZZZZZZZZZ233,3,460.00,4.0,2024-01-08,PENDING,DISC15
ORD238,CUST00148,ITEM-AAAAAAAAAA234,9,160.00,1.7,2024-01-24,CONFIRMED,DISC20
ORD239,CUST00149,ITEM-BBBBBBBBBB235,7,240.00,2.3,2024-01-06,CONFIRMED,DISC10
ORD240,CUST00150,ITEM-CCCCCCCCCC236,4,360.00,3.1,2024-01-26,PENDING,DISC15
ORD241,CUST00151,ITEM-DDDDDDDDDD237,10,130.00,1.4,2024-01-27,CONFIRMED,DISC20
ORD242,CUST00152,ITEM-EEEEEEEEEE238,5,310.00,2.8,2024-01-21,CONFIRMED,
ORD243,CUST00153,ITEM-FFFFFFFFFF239,8,200.00,2.1,2024-01-08,PENDING,DISC10
ORD244,CUST00154,ITEM-GGGGGGGGGG240,6,280.00,2.6,2024-01-21,CONFIRMED,DISC15
ORD245,CUST00155,ITEM-HHHHHHHHHH241,12,115.00,1.3,2024-01-18,CONFIRMED,DISC20
ORD246,CUST00156,ITEM-IIIIIIIIII242,3,430.00,3.8,2024-01-08,PENDING,DISC10
ORD247,CUST00157,ITEM-JJJJJJJJJJ243,9,150.00,1.7,2024-01-03,CONFIRMED,DISC15
ORD248,CUST00158,ITEM-KKKKKKKKKK244,7,220.00,2.3,2024-01-03,CONFIRMED,DISC20
ORD249,CUST00159,ITEM-LLLLLLLLLL245,4,350.00,3.0,2024-01-29,PENDING,DISC10
ORD250,CUST00160,ITEM-MMMMMMMMMM246,11,125.00,1.4,2024-01-18,CONFIRMED,DISC15
ORD251,CUST00161,ITEM-NNNNNNNNNN247,5,320.00,2.9,2024-01-15,CONFIRMED,DISC20
ORD252,CUST00162,ITEM-OOOOOOOOOO248,8,175.00,1.9,2024-01-17,PENDING,
ORD253,CUST00163,ITEM-PPPPPPPPPP249,6,260.00,2.3,2024-01-18,CONFIRMED,DISC10
ORD254,CUST00164,ITEM-QQQQQQQQQQ250,10,140.00,1.6,2024-01-21,CONFIRMED,DISC15
ORD255,CUST00165,ITEM-RRRRRRRRRR251,3,470.00,4.1,2023-12-30,PENDING,DISC20
ORD256,CUST00166,ITEM-SSSSSSSSSS252,9,170.00,1.8,2024-01-30,CONFIRMED,DISC10
ORD257,CUST00167,ITEM-TTTTTTTTTT253,7,250.00,2.2,2024-01-30,CONFIRMED,DISC15
ORD258,CUST00168,ITEM-UUUUUUUUUU254,4,380.00,3.2,2024-01-29,PENDING,DISC20
ORD259,CUST00169,ITEM-VVVVVVVVVV255,12,120.00,1.3,2024-01-03,CONFIRMED,
ORD260,CUST00170,ITEM-WWWWWWWWWW256,5,300.00,2.7,2023-12-31,CONFIRMED,DISC10
ORD261,CUST00171,ITEM-XXXXXXXXXX257,8,185.00,2.0,2024-01-17,PENDING,DISC15
ORD262,CUST00172,ITEM-YYYYYYYYYY258,6,270.00,2.5,2024-01-15,CONFIRMED,DISC20
ORD263,CUST00173,ITEM-ZZZZZZZZZZ259,11,145.00,1.6,2024-01-03,CONFIRMED,DISC10
ORD264,CUST00174,ITEM-AAAAAAAAAAAA260,3,460.00,4.0,2024-01-08,PENDING,DISC15
ORD265,CUST00175,ITEM-BBBBBBBBBBBB261,9,160.00,1.7,2024-01-09,CONFIRMED,DISC20
ORD266,CUST00176,ITEM-CCCCCCCCCCCC262,7,240.00,2.3,2024-01-09,CONFIRMED,DISC10
ORD267,CUST00177,ITEM-DDDDDDDDDDDD263,4,360.00,3.1,2024-01-23,PENDING,DISC15
